# Height [m];Temperature [K];Wind Speed [m/s];Relative Humidity [%]
2.489959839357429772e+01;2.846683400267737056e+02;2.428966333299939162e+00;7.095414993306559381e+01
2.500000000000000000e+01;2.846666666666666288e+02;2.430418564099942724e+00;7.095833333333334281e+01
2.510040160642570228e+01;2.846649933065594951e+02;2.431864981282400251e+00;7.096251673360107759e+01
2.520080321285140457e+01;2.846633199464524182e+02;2.433305631208304565e+00;7.096670013386881237e+01
2.530120481927710685e+01;2.846616465863453413e+02;2.434740559686288552e+00;7.097088353413654715e+01
2.540160642570280913e+01;2.846599732262382076e+02;2.436169811981365729e+00;7.097506693440428194e+01
2.550200803212851497e+01;2.846582998661311308e+02;2.437593432823494499e+00;7.097925033467203093e+01
2.560240963855421725e+01;2.846566265060240539e+02;2.439011466415981211e+00;7.098343373493976571e+01
2.570281124497991954e+01;2.846549531459169771e+02;2.440423956443715348e+00;7.098761713520750050e+01
2.580321285140562182e+01;2.846532797858098434e+02;2.441830946081243070e+00;7.099180053547523528e+01
2.590361445783132410e+01;2.846516064257027665e+02;2.443232478000686214e+00;7.099598393574297006e+01
2.600401606425702994e+01;2.846499330655956896e+02;2.444628594379509412e+00;7.100016733601071905e+01
2.610441767068273222e+01;2.846482597054885559e+02;2.446019336908134445e+00;7.100435073627845384e+01
2.620481927710843451e+01;2.846465863453814791e+02;2.447404746797410269e+00;7.100853413654618862e+01
2.630522088353413679e+01;2.846449129852744022e+02;2.448784864785941817e+00;7.101271753681392340e+01
2.640562248995983907e+01;2.846432396251672685e+02;2.450159731147275366e+00;7.101690093708165818e+01
2.650602409638554136e+01;2.846415662650601917e+02;2.451529385696954666e+00;7.102108433734940718e+01
2.660642570281124364e+01;2.846398929049531148e+02;2.452893867799434524e+00;7.102526773761714196e+01
2.670682730923694592e+01;2.846382195448459811e+02;2.454253216374872260e+00;7.102945113788487674e+01
2.680722891566264821e+01;2.846365461847389042e+02;2.455607469905789042e+00;7.103363453815261153e+01
2.690763052208835404e+01;2.846348728246318274e+02;2.456956666443604220e+00;7.103781793842034631e+01
2.700803212851405632e+01;2.846331994645246937e+02;2.458300843615054632e+00;7.104200133868809530e+01
2.710843373493975861e+01;2.846315261044176168e+02;2.459640038628485570e+00;7.104618473895583008e+01
2.720883534136546089e+01;2.846298527443105399e+02;2.460974288280036060e+00;7.105036813922356487e+01
2.730923694779116317e+01;2.846281793842034062e+02;2.462303628959703339e+00;7.105455153949129965e+01
2.740963855421686901e+01;2.846265060240963294e+02;2.463628096657295430e+00;7.105873493975903443e+01
2.751004016064257129e+01;2.846248326639892525e+02;2.464947726968282904e+00;7.106291834002678343e+01
2.761044176706827358e+01;2.846231593038821188e+02;2.466262555099534293e+00;7.106710174029451821e+01
2.771084337349397586e+01;2.846214859437750420e+02;2.467572615874954689e+00;7.107128514056225299e+01
2.781124497991967814e+01;2.846198125836679651e+02;2.468877943741018210e+00;7.107546854082998777e+01
2.791164658634538043e+01;2.846181392235608882e+02;2.470178572772204539e+00;7.107965194109772256e+01
2.801204819277108271e+01;2.846164658634537545e+02;2.471474536676335099e+00;7.108383534136547155e+01
2.811244979919678855e+01;2.846147925033466777e+02;2.472765868799815081e+00;7.108801874163320633e+01
2.821285140562249083e+01;2.846131191432396008e+02;2.474052602132779555e+00;7.109220214190094111e+01
2.831325301204819311e+01;2.846114457831324671e+02;2.475334769314155636e+00;7.109638554216867590e+01
2.841365461847389540e+01;2.846097724230253903e+02;2.476612402636625188e+00;7.110056894243641068e+01
2.851405622489959768e+01;2.846080990629183134e+02;2.477885534051507133e+00;7.110475234270415967e+01
2.861445783132529996e+01;2.846064257028111797e+02;2.479154195173552733e+00;7.110893574297189446e+01
2.871485943775100225e+01;2.846047523427041028e+02;2.480418417285654265e+00;7.111311914323962924e+01
2.881526104417670808e+01;2.846030789825970260e+02;2.481678231343473762e+00;7.111730254350736402e+01
