# Range [m];Height [m];Real(p) [Pa];Imag(p) [Pa]
1.000000000000000000e+04;3.451843006299196077e+03;-5.509901540473510556e-04;3.501672718263761021e-04
1.000000000000000000e+04;3.499205972530071904e+03;-4.933540631011823670e-04;4.299473760328088087e-04
1.000000000000000000e+04;3.500794025625475115e+03;-4.905080677198378350e-04;4.313450766592869076e-04
1.000000000000000000e+04;3.548157009075758197e+03;-4.224726246236499660e-04;5.036873618930997470e-04
1.000000000000000000e+04;3.549745038058439150e+03;-4.193832462600668152e-04;5.048659572690051243e-04
1.000000000000000000e+04;3.597108097267597259e+03;-3.384798722038733442e-04;5.578851374059677235e-04
1.000000000000000000e+04;3.598696108594325324e+03;-3.352487765166556766e-04;5.586927623243253659e-04
1.000000000000000000e+04;3.646059186785584643e+03;-2.472184173860048312e-04;6.027760659549834081e-04
1.000000000000000000e+04;3.647647225818658626e+03;-2.438607923702347058e-04;6.027889421404109774e-04
1.000000000000000000e+04;3.695010227834589841e+03;-1.469134905862499898e-04;6.384233169826990370e-04
1.000000000000000000e+04;3.696598324844268973e+03;-1.435609853647657353e-04;6.380111928197950300e-04
1.000000000000000000e+04;3.743961223578341105e+03;-4.279509406684505162e-05;6.471408760235278484e-04
1.000000000000000000e+04;3.745549358184997345e+03;-3.954339998960077819e-05;6.464232331747342148e-04
1.000000000000000000e+04;3.792912230461910895e+03;6.234621444013772776e-05;6.447818847012848657e-04
1.000000000000000000e+04;3.794500345725884927e+03;6.551106786330470092e-05;6.431293914922757600e-04
1.000000000000000000e+04;3.841863307782881748e+03;1.704025439394439686e-04;6.283362934151405553e-04
1.000000000000000000e+04;3.843451370792037778e+03;1.731580186051592677e-04;6.264232789139098471e-04
1.000000000000000000e+04;3.890814414158992804e+03;2.696927866340963816e-04;5.881460784210994783e-04
1.000000000000000000e+04;3.892402456049504508e+03;2.723231930934727311e-04;5.857244065040732731e-04
1.000000000000000000e+04;3.939765467390024696e+03;3.662427032419467393e-04;5.340951875767205965e-04
1.000000000000000000e+04;3.941353538671302431e+03;3.682071019598221568e-04;5.312124435919377951e-04
1.000000000000000000e+04;3.988716455613538983e+03;4.505451306260631382e-04;4.674776596978455555e-04
1.000000000000000000e+04;3.990304547583943531e+03;4.522564682952325628e-04;4.641781574157758218e-04
1.000000000000000000e+04;4.037667460834599297e+03;5.235487866303896063e-04;3.822533499052715197e-04
1.000000000000000000e+04;4.039255517831226825e+03;5.244847199079837865e-04;3.788794656970372911e-04
1.000000000000000000e+04;4.086618550351859994e+03;5.799619413457298128e-04;2.879857287330905694e-04
1.000000000000000000e+04;4.088206541244019718e+03;5.804812116007973099e-04;2.842466540250519324e-04
1.000000000000000000e+04;4.135569659155438785e+03;6.215971195452992155e-04;1.826277532565599216e-04
1.000000000000000000e+04;4.137157633906275805e+03;6.213292834572541968e-04;1.790232649953768214e-04
1.000000000000000000e+04;4.184520737438447213e+03;6.409226478554273321e-04;7.259106133258443430e-05
1.000000000000000000e+04;4.186108740503474110e+03;6.401534886289850061e-04;6.889028864930604897e-05
1.000000000000000000e+04;4.233471766644882337e+03;6.436171516880479469e-04;-4.291369064703699765e-05
1.000000000000000000e+04;4.235059816881666848e+03;6.420569372912090633e-04;-4.626731224767289744e-05
1.000000000000000000e+04;4.282422753179661413e+03;6.239257642446677677e-04;-1.568417335057093896e-04
1.000000000000000000e+04;4.284010838893954315e+03;6.219279365243220517e-04;-1.599752403595676702e-04
1.000000000000000000e+04;4.331373763900051927e+03;5.825523055705631717e-04;-2.676425813496660622e-04
1.000000000000000000e+04;4.332961812480156368e+03;5.798995854437748784e-04;-2.703630071633990242e-04
1.000000000000000000e+04;4.380324837681040663e+03;5.258707921082181064e-04;-3.681094765415132090e-04
1.000000000000000000e+04;4.381912835801490473e+03;5.227085112932676903e-04;-3.702690206339725055e-04
1.000000000000000000e+04;4.429275953859300898e+03;4.460177308600072211e-04;-4.615191193524955759e-04
1.000000000000000000e+04;4.430863939051761008e+03;4.426504794623187505e-04;-4.630883558258555512e-04
